volume_id,book_id,chapter_id,verse_id,volume_title,book_title,volume_long_title,book_long_title,volume_subtitle,book_subtitle,volume_short_title,book_short_title,volume_lds_url,book_lds_url,chapter_number,verse_number,scripture_text,verse_title,verse_short_title,saved
2,53,1118,29672,New Testament,2 Thessalonians,The New Testament,The Second Epistle of Paul the Apostle to the Thessalonians,Of our Lord and Saviour Jesus Christ,,NT,2 Thes.,nt,2-thes,2,10,"And with all deceivableness of unrighteousness in them that perish; because they received not the love of the truth, that they might be saved.",2 Thessalonians 2:10,2 Thes. 2:10,1
2,54,1121,29721,New Testament,1 Timothy,The New Testament,The First Epistle of Paul the Apostle to Timothy,Of our Lord and Saviour Jesus Christ,,NT,1 Tim.,nt,1-tim,2,4,"Who will have all men to be saved, and to come unto the knowledge of the truth.",1 Timothy 2:4,1 Tim. 2:4,1
2,54,1121,29732,New Testament,1 Timothy,The New Testament,The First Epistle of Paul the Apostle to Timothy,Of our Lord and Saviour Jesus Christ,,NT,1 Tim.,nt,1-tim,2,15,"Notwithstanding she shall be saved in childbearing, if they continue in faith and charity and holiness with sobriety.",1 Timothy 2:15,1 Tim. 2:15,1
2,55,1126,29819,New Testament,2 Timothy,The New Testament,The Second Epistle of Paul the Apostle to Timothy,Of our Lord and Saviour Jesus Christ,,NT,2 Tim.,nt,2-tim,1,9,"Who hath saved us, and called us with an holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the world began,",2 Timothy 1:9,2 Tim. 1:9,1
2,56,1132,29929,New Testament,Titus,The New Testament,The Epistle of Paul to Titus,Of our Lord and Saviour Jesus Christ,,NT,Titus,nt,titus,3,5,"Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost;",Titus 3:5,Titus 3:5,1
2,60,1154,30445,New Testament,1 Peter,The New Testament,The First Epistle General of Peter,Of our Lord and Saviour Jesus Christ,,NT,1 Pet.,nt,1-pet,3,20,"Which sometime were disobedient, when once the longsuffering of God waited in the days of Noah, while the ark was a preparing, wherein few, that is, eight souls were saved by water.",1 Peter 3:20,1 Pet. 3:20,1
2,60,1155,30465,New Testament,1 Peter,The New Testament,The First Epistle General of Peter,Of our Lord and Saviour Jesus Christ,,NT,1 Pet.,nt,1-pet,4,18,"And if the righteous scarcely be saved, where shall the ungodly and the sinner appear?",1 Peter 4:18,1 Pet. 4:18,1
2,61,1158,30506,New Testament,2 Peter,The New Testament,The Second Epistle General of Peter,Of our Lord and Saviour Jesus Christ,,NT,2 Pet.,nt,2-pet,2,5,"And spared not the old world, but saved Noah the eighth person, a preacher of righteousness, bringing in the flood upon the world of the ungodly;",2 Peter 2:5,2 Pet. 2:5,1
2,65,1167,30678,New Testament,Jude,The New Testament,The General Epistle of Jude,Of our Lord and Saviour Jesus Christ,,NT,Jude,nt,jude,1,5,"I will therefore put you in remembrance, though ye once knew this, how that the Lord, having saved the people out of the land of Egypt, afterward destroyed them that believed not.",Jude 1:5,Jude 1:5,1
2,66,1188,31078,New Testament,Revelation,The New Testament,The Revelation of St John the Divine,Of our Lord and Saviour Jesus Christ,,NT,Rev.,nt,rev,21,24,And the nations of them which are saved shall walk in the light of it: and the kings of the earth do bring their glory and honour into it.,Revelation 21:24,Rev. 21:24,1
